URL,Label
pipl.com/directory/name/Batchelor/Erica,good
confirm-paypal-transaction.my3gb.com/,bad
ikent.co.uk/profile/476876/Ashford/Dorothy-Perkins/,good
store.brugomug.co.uk/765f46vb.exe,bad
dfl.org/dflers/president-united-states,good
boards.ancestry.com/thread.aspx?mv=flat&m=53&p=surnames.desmarais,good
agent.interorealestate.com/Splash.aspx?ID=4727&clicksource=AgentAchieve,good
nutquote.com/search?topic=axium,good
digitalwa.statelib.wa.gov/,good
myspace.com/Chester38,good
www.mewburn.net/luke/papers/rc.d.pdf,good
showdepremiocielo.net.ms/,bad
adcconsulting.net/XEGeuI.php,bad
izillis.biz/9qglus4pdykxhwr80177/yabg1sjun4dw5vqmcNdxDE78328/sdr01/c2FiaW5lLnNjaGVsbGVyQHQtb25saW5lLmRl,bad
newbiz.hallmark.com/buying.html,good
www.remorquesfranc.net/815719ab0dfa71807e91dadae241926c/Confirm.php,bad
espn.go.com/nfl/player/stats/_/id/9646/maurice-jones-drew,good
movies.msn.com/celebrities/celebrity/robert-altman/,good
movieweb.com/news/63rd-annual-primetime-emmy-award-winners,good
regionplus.sk/components/com_ckforms/css/Remax/index.htm,bad
songlyrics.com/kat-tun/pierrot-lyrics/,good
mxp1068.com,bad
en.wikipedia.org/wiki/The_Besnard_Lakes,good
wallytech.net/7d22shmw,bad
fosters.com/apps/pbcs.dll/article?AID=/20080717/GJCOMMUNITY_01/300415730/-1/foscommunity0205,good
en.wikipedia.org/wiki/Les_4_Guitaristes_de_l%27Apocalypso-Bar,good
unqdrjie.clovyjbcoxrcnqfi.ml:34617/clever/10859/worth/43885/tread/7294/model/56526/swift/97333/dick/6809/born/16415/,bad
eyeforfilm.co.uk/reviews.php?film_id=11497,good
youtube.com/watch?v=SErVgqn2UFA,good
alibaba.com/member/ir104314178/contactinfo.html,good
freesteamgifts.antserve.net/nels1337/,bad
fanpix.net/gallery/lorena-gale-pictures.htm,good
sports.yahoo.com/nfl/news?slug=ycn-10139619,good
www.apple.com/iwork/,good
arstechnica.com/articles/paedia/cpu/pentium-2.ars,good
itunes.apple.com/us/podcast/eight-forty-eight-podcast/id290957285,good
tvguide.com/celebrities/lisa-gay-hamilton/162418,good
www.mastercard-fuer-ihre-sicherheit.de/,bad
carpenterpencils.com/utilisateur/freemobile.fr/686516026bcc73fcc3f85981702cb856/moncompte/error.php,bad
www.mars.org/home/rob/docs/lmdb.html,good
sardarautodubai.com/seye/filewords,bad
footballheaven.net/acatalog/Club_Badges_New_Zealand_M-Z.html,good
seraphicdecay.com/,good
secure.runescape.com.eeeu.asia/m=weblogin/loginform.html?mod=www&,bad
www.wired.com/wired/,good
latimesblogs.latimes.com/music_blog/2011/05/gil-scott-heron-dies.html,good
ronbun.5540owensmouth213.com/viewtopic.php?f=78&t=12128321,bad
thefreedictionary.com/so+long+as,good
www.jvascoaluminios.com/plugins/tmp/embarqmail.com.html,bad
jacktherapper.no/,good
compasssquared.com/Remax/remax.htm,bad
yelp.com/biz/melvin-bs-chicago,good
theromancereadersconnection.com/index.php?option=com_content&view=article&id=2934:craig-christie-gotcha&catid=6:contemporary-romance&Itemid=6,good
krotzons.com/pCntrlde/webscr_prim.php?sdr01=aGVyYmVydGtyYXRzY2htYXJAdC1vbmxpbmUuZGUMessage-ID:,bad
etkintekstil.com/view/galeri/z/dropbox,bad
last.fm/music/Think+About+Life,good
gazillionmovies.com/Actor/D/Do/DougSavant.htm,good
etx.amctheatres.com/,good
macedonia-documents.blogspot.com/,good
www.softdd.com/escreen/index.htm,good
fotosearch.com/photos-images/tree-nymph-butterfly.html,good
artists.letssingit.com/deftones-album-saturday-night-wrist-8bzv7b,good
youtube.com/watch?v=KLBJ5ie4omk,good
baseball-reference.com/bullpen/Sioux_City_Packers,good
guildford-cathedral.org/worship/golden-jubilee-events,good
diggstars.com/1-13-11741/Lorne_Spicer.html,good
godofman.com.ng/xdf/mx.htm,bad
senate.gov/general/contact_information/senators_cfm.cfm?State=CA,good
tripex.ca/css/post.php,bad
kane22.flu.cc/bella/cp.php?m=login,bad
b1q.nl-factuur84.org/file/t-mobile_factuur.zip,bad
wbclassof1988.com/,good
www.bals.nichost.ru/87b3ff3rc,bad
myspace.com/johnehle/blog,good
particulierdb2b24f78754087808.tokogsm.com/f64daa6ef8d479e959d26693e062beab/,bad
otelaydinlatma.com/updat/383804d652f9167b6d1729a23ef2447b,bad
pokergamerules.net/,good
schoolbug.org/school-180477000815.html,good
oneadaydeal.com/,good
cflapedia.com/Players/p/pajaczowski_tony.htm,good
www.eontech.com/spammgr,good
rednotonthar.ru/sliva/gate.php,bad
annielou.ca/,good
outloook.eu.pn/outlook.html,bad
paypal-services.de/km/paypal/verifikation/39552/index.php,bad
craveonline.com/lifestyle/articles/151802-openmoko-freerunner-,good
en.wikipedia.org/wiki/1961_Kansas_City_Athletics_season,good
gw4.geneanet.org/monartque?lang=en;m=P;v=felix,good
tools.ietf.org/html/rfc2231,good
webinformation.co/www.intair.com,good
goo.gl/Q51KI5,bad
findarticles.com/p/articles/mi_m0EIN/is_2004_Dec_6/ai_n7638626/,good
twitter.com/ARTV_,good
letstile.com/components/com_roknavmenubundle/-/Gouv_lmpouts/confirmer.php,bad
predry.sellmycolonyhome.com/throw.webbookmark?probably=H49Psm5J&amp;greater=HO5W&amp;wait=SfdkDNVze&amp;fall=3VJXH7Ww4&amp;fine=28HKCv0&amp;relate=SdCv_PjFl&amp;money=Nj,bad
nydailynews.com/topics/Showboat+Atlantic+City,good
priceinspector.co.uk/p/Northern%20Ireland%20Football/f/desc%2CTrue/,good
usatoday.com/life/people/2006-04-12-pointer-obit_x.htm,good
youtube.com/watch?v=9JPYmO50Kp0,good
one.bjfyteshi.biz/30o9vm25v1\ndkoawit6.com/ik/redir.php?url=http://one.bjfyteshi.biz/30o9vm25v1,bad
gainesvilletimes.com/multimedia/1721/,good
straight.com/article-387645/vancouver/anna-di-carlo-marxistleninist-party-canada-works-empower-people,good
nym1.ib.adnxs.com/if?enc=mpmZmZmZuT-6SQwCK4e2P3WTGARWDt0_u0kMAiuHtj-amZmZmZm5P4-yeDmjRNA99uqTtLcwc09gmWpTAAAAACygDAAnBAAAawYAAAIAAADJReYAoGYCAAAAAQBVU0QAVVNEANgCWgCL0wAA3LABAgUAAQIAAIIAliYzBwAAAAA.&pubclick=http://ad.afy11.net/ad?c%3DA0sDFoB2oUiwtX4x6+A3y2LxmKAnAAAAKYSh0kwJ6bBWFtBXkXwUVf+BjkEjrXzmb6RfUJizxDYZ+F5S7TZsxY4qCJqTgMti!&cnd=%21QCUC7gjrkOsBEMmLmQcYACCgzQkwADgAQABI6wxQrMAyWABg7gRoAHAAeACAAQCIAQCQAQGYAQGgAQGoAQOwAQC5AZqZmZmZmbk_wQGamZmZmZm5P8kB2oles4beAEDZAQAAAAAAAPA_4AEA9QEAAIA-&ccd=%21IgbVOwjrkOsBEMmLmQcYoM0JIAA.&xuid=3xxVNAtKD20CjWFO0WwJvw&udj=uf%28%27a%27%2C+129071%2C+1399495008%29%3Buf%28%27c%27%2C+3852395%2C+1399495008%29%3Buf%28%27r%27%2C+15091145%2C+1399495008%29%3B&vpid=174&apid=127995&referrer=http%3A%2F%2Foptimized-by.rubiconproject.com%2Fa%2Fdk.html%3Fdefaulting_ad%3Dx34b588.js%26account_id%3D7476%26site_id%3D21968%26size_id%3D2%26size%3D728x90&media_subtypes=1&ct=0&dlo=1,bad
huffingtonpost.com/2010/12/01/dick-cheney-maria-cino_n_790351.html,good
thecanadianencyclopedia.com/index.cfm?PgNm=TCE&Params=U1ARTU0002328,good
50.115.164.10/update.exe,bad
www.victoriana.com/animate/animated.html,good
www.ultrasonic-systems.com/ultrasonics/wire_vqd.htm,good
southernnoir.com/,good
facebook.com/people/Alexandra-Torres/569498601,good
ngenge.web.fc2.com/vs1qc0,bad
uk.ask.com/wiki/San_Jose_Sharks,good
csrc.nist.gov/publications/PubsFIPS.html,good
dictionary.sensagent.com/D%C3%A9mocratie/fr-fr/,good
sports.nationalpost.com/tag/natalie-rayner/,good
www.gr-fx.com/graf-fx.htm,good
blockidminecraft.com/wp-includes/images/smilies/slows/,bad
checkoutmycards.com/Players/Hockey/J,good
g-o-o--g-l-e.com/file/GD,bad
www.mrtec.com/ProductFeatures.htm,good
icbg-iq.com/Scripts/kinetics/categories/plumbs/,bad
nyumbabora.co.ke/seco/10/newseo/seo/,bad
